id,title,publisher
doi:10.1037/e463622004-001,Effects Of Variations In Control Deadspace And Gain On Tracking Performance.,crossref:15
doi:10.1037/e624552011-001,EU Transport Foresight Planning: Comments On How Chronocomplexity Limits Such Strategic Planning Efforts,crossref:320
doi:10.1037/e610732011-003,Coming Of Age:12 Years Later Coming Of Age In The 1990S: The Eighth-Grade Class Of 1988 12 Years Later,crossref:263
doi:10.1037/e520002012-001,"Division Dialogue, January-February 2003",crossref:2914
doi:10.1037/e540132008-001,"Gender, Mental Illness, And Crime",crossref:140
doi:10.1109/cyberneticscom.2012.6381631,A Performance Comparison Of Using Principal Component Analysis And Ant Clustering With Fuzzy C-Means And K-Harmonic Means,crossref:374
doi:10.1037/e317052004-003,Crisis Intervention: Using Active Listening Skills In Negotiations,crossref:1960
doi:10.1037/e656562011-001,Identity Development At The Intersections Of Bisexuality And Polyamory,crossref:1963
doi:10.1037/e499282006-004,Baltimore County: Eastern Technical High School,crossref:7822
doi:10.1037/e413812005-576,Effects Of Gender And Psychopathology On Therapeutic Preferences,crossref:3774
doi:10.1037/e400102004-001,"A Note On The Comparative Validity Of Two Rating Forms. [ Proj. No. NM 16 01 11, Sub. 1].",crossref:311
doi:10.1037/e590332009-002,"Ask The Field [Denise Bulling, University Of Nebraska Public Policy Center]",crossref:301
